"Time","Vhcl.YawAcc"
"C1","C1"
"s","rad/s^2"
23.121,-0.371296972
23.131,-0.3223227859
23.141,-0.3751308322
23.151,-0.4281734824
23.161,-0.3810833395
23.171,-0.3303038478
23.181,-0.3764454424
23.191,-0.4291542768
23.201,-0.389313519
23.211,-0.3395779431
23.221,-0.3759075701
23.231,-0.4253001213
23.241,-0.3952179849
23.251,-0.349617511
23.261,-0.3758743405
23.271,-0.4195482731
23.281,-0.3991427124
23.291,-0.3604309857
23.301,-0.3785697818
23.311,-0.4154329598
23.321,-0.4023060203
23.331,-0.3707410693
23.341,-0.3827329874
23.351,-0.4122833908
23.361,-0.4039806724
23.371,-0.3792032599
23.381,-0.3870984912
23.391,-0.4101220965
23.401,-0.4049841166
23.411,-0.3862182498
23.421,-0.3917886913
23.431,-0.4094204605
23.441,-0.4060464501
23.451,-0.3922258019
23.461,-0.3966228962
23.471,-0.4098686576
23.481,-0.4071962535
23.491,-0.3971601427
23.501,-0.4011095464
23.511,-0.4118289948
23.521,-0.4110239744
23.531,-0.4042624831
23.541,-0.4081937373
23.551,-0.416616112
23.561,-0.4144688249
23.571,-0.4090726674
23.581,-0.4142108858
23.591,-0.4211775661
23.601,-0.4175360799
23.611,-0.4139258265
23.621,-0.4211003184
23.631,-0.4262662232
23.641,-0.4208185375
23.651,-0.4198420644
23.661,-0.4290758967
23.671,-0.4311221242
23.681,-0.4241629541
23.691,-0.42752707
23.701,-0.4378042221
23.711,-0.4346725941
23.721,-0.4281438589
23.731,-0.4378667176
23.741,-0.4460020661
23.751,-0.4362385869
23.761,-0.4349923432
23.771,-0.4514318705
23.781,-0.4511187971
23.791,-0.4368594587
23.801,-0.4485262632
23.811,-0.4658488631
23.821,-0.4495576024
23.831,-0.4420045614
23.841,-0.4714273214
23.851,-0.4726255834
23.861,-0.442383796
23.871,-0.46307078
23.881,-0.4968727231
23.891,-0.4602737427
23.901,-0.4451518655
23.911,-0.5089284182
23.921,-0.4992432296
23.931,-0.435058713
23.941,-0.482316345
23.951,-0.5344232321
23.961,-0.4671544433
23.971,-0.4554930031
23.981,-0.5353645086
23.991,-0.5130755305
24.001,-0.4524381459
24.011,-0.5116718411
24.021,-0.5498537421
24.031,-0.4776597321
24.041,-0.4881151617
24.051,-0.5633141398
24.061,-0.5221893787
24.071,-0.4831060171
24.081,-0.5568262935
24.091,-0.5662190914
24.101,-0.4987536967
24.111,-0.5408176184
24.121,-0.5934886336
24.131,-0.5317624211
24.141,-0.5299320221
24.151,-0.6026870608
24.161,-0.5720730424
24.171,-0.5331995487
24.181,-0.598367691
24.191,-0.6063265204
24.201,-0.5537105203
24.211,-0.5894178152
24.221,-0.6247389913
24.231,-0.5829941034
24.241,-0.5866636634
24.251,-0.6261799932
24.261,-0.6057122946
24.271,-0.5906612873
24.281,-0.6194983125
24.291,-0.6196702719
24.301,-0.6034949422
24.311,-0.6168845296
24.321,-0.6264915466
24.331,-0.6184699535
24.341,-0.6221364737
24.351,-0.6321604252
24.361,-0.6315531731
24.371,-0.6312621236
24.381,-0.6366967559
24.391,-0.6378430724
24.401,-0.6363138556
24.411,-0.6380169392
24.421,-0.6392378807
24.431,-0.6384785175
